SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,U,Pb,Zr,Sc,V,Ni,Cr,A,La/Y,Nb/Y,Ba/Sc,Nb/Yb,Sr/Y,(La/Yb)/n,Ce/Yb,Zr/Y,La/Sm,Dy/Yb,Sm/Yb,Zr/Sm,Rb/Sr,Nd/Yb,Lu/Hf,Ce/Y,Nd/Y,Th/Yb,Gd/Yb,Ba/V,A/CaO,Th/Y,Ni/Sc,Cr/Sc,Ni/V,Cr/V,Predicted_Crustal_Thickness,Age,Age error,Lat,Lon
49.08,2.4036,16.2747,12.548,9.194,5.4855,0.25,1.38,3.0197,0.4,23.79023971,56.2429865,5.99,26.31278029,6.89,2.26,7.41,1.28,7.4,1.52,3.74,0.590928996,3.69,0.6,554,38.44081043,60.4,255,5.1,20.76669128,1.304000186,4.688882889,0.7,4.2,217,38.72635145,469,52,81,4.3997,0.618879765,0.540225116,6.584663684,5.627829615,14.41176692,4.379756662,15.24200176,5.645042276,3.45286498,2.005420054,1.867208672,31.49492017,0.109025271,7.130834767,0.117647059,1.463106159,0.684501185,1.27069997,2.008130081,0.543710021,17.5988,0.121976692,1.342754947,2.091599053,0.1108742,0.172707889,33.21852373,212,2,39.0321,121.5074
56.91,2.0217,12.18,14.84,5.87,2.08,0.19,2.8106,2.81,0.76,44.17948418,104.2,12.15677802,55.75539816,14.6,4.39,13.12558014,2.546570662,13.526267,2.94,7.42,1.12,7.080810033,1.35678935,341,75.48942307,77.24959712,716.536778,10,47.7308401,2.5,6.6,1.6,39.1779103,448,23.29356477,142.7555258,40,76,5.6206,0.585240718,0.632285136,30.76114734,6.740872849,4.517189112,4.238529673,14.71583046,5.934606224,3.025992067,1.910271132,2.061910986,30.68493151,0.226538408,7.874155344,0.135678935,1.380325823,0.738585565,0.932096747,1.853683417,5.019327791,29.58210526,0.087429467,1.717212475,3.262703702,0.280199311,0.532378691,37.97449089,212,2,39.0321,121.5074
50.82,2.4847,13.26,14.49,9.9369,6.16,0.23,0.62,2.6813,0.28,20.51116186,35.9,5.070431688,22.2,5.85,1.835056667,6.33,1.11,6.58,1.281133369,3.33,0.520675275,3.542889955,0.55,317.1234127,33.64639706,19.9,135,4.3,15.5,0.9,2.51778638,0.5,8.91253362,155.8337375,42,352.905814,45.82668906,48,3.3013,0.609609458,0.460673396,3.214285714,4.374959481,9.425181904,3.932874869,10.13297067,4.63151336,3.506181515,1.857240864,1.651194385,26.63824573,0.062751595,6.266070999,0.127906977,1.066979027,0.659803187,0.710658929,1.786677001,0.382538328,14.35347826,0.074830787,1.091111644,1.142857143,0.129855296,0.136013628,32.87007328,212,2,39.0105,121.6519
49.38,2.3688,15.6976,12.405,10.23,5.6121,0.23,0.8727,2.16,0.3139,18.6,42.1,5.564727711,24.2,5.83,1.872519887,6.229586044,1.022225989,6.19,1.25,3.17,0.47,3.13,0.469750972,342.2166325,35.3,25.80503335,320,4.56470965,14.02124805,1,1.9,0.483966137,4,173,41,346,47.46319358,43,3.0327,0.526912181,0.397202494,7.804878049,4.479631965,9.694522167,4.03688276,13.45047923,4.900849858,3.190394511,1.977635783,1.862619808,29.67409949,0.07540555,7.731629393,0.102909277,1.192634561,0.685552408,0.607028754,1.990283081,0.924855491,13.18565217,0.053824363,1.157638868,1.048780488,0.13717686,0.124277457,35.05980027,211,2,39.0831,121.7963
49.05,2.46,14.18,14.0248,10.418,6.62,0.22,0.83,2.27,0.32,18.7036667,40.37011382,5.14,23.3,5.64,2.04,5.667287105,1.020650117,5.95,1.137367175,3.09539305,0.44,2.88,0.432918407,398.2783497,30.81856294,22.1,264,4.023630514,15.7,0.9,1.7,0.4,3.4,143.0217431,40,365.5943079,27,43,3.1,0.606896134,0.509433228,6.6,5.451388889,12.92332645,4.411759169,14.01740063,4.640766131,3.316252961,2.065972222,1.958333333,25.35846509,0.055488831,8.090277778,0.107593977,1.309928497,0.756037848,0.590277778,1.967808023,0.722111899,14.09090909,0.05516156,0.675,1.075,0.073852353,0.117616711,31.83404051,211,2,39.0831,121.7963
50.87,2.2538,15.082,12.051,9.95,6.28,0.21,0.8311,2.46,0.2674,16.41781209,31.39880308,4.14,18.19262546,5.23,1.8,5.751596281,1.01,5.94,1.220358526,3.247396043,0.486350242,2.94,0.48,304.6182538,33.1,23.58432645,167.8414122,3.846133184,12.01794588,0.8,1.8,0.4,1.9,138,37.83440782,414,2,46.57224966,3.2911,0.496006408,0.363079936,4.436210896,4.087736694,9.202968393,3.793547097,10.67986499,4.16918429,3.139161011,2.020408163,1.778911565,26.38623327,0.077422565,6.187967844,0.12480067,0.948604323,0.549626147,0.612244898,1.956325266,0.405414039,15.67190476,0.054380665,0.052861935,1.230949613,0.004830918,0.112493357,31.32671376,211,2,39.041,121.8975
56.9475,0.9948,13.71,7.5772,7.92,4.8749,0.1276,3.57,2.29,0.3003,20.30302586,44.38721531,5.302856637,21.33034028,4.371697032,1.33,3.95,0.56,2.91,0.522785037,1.33,0.208807538,1.26,0.2,805.6675533,15.8,49.6,1280.547752,2.93659614,6.4,0.3,3,0.752080541,11,121.603805,23,187.6854409,149.2131591,795,5.86,1.285001637,0.405063291,55.67598922,5.079365079,50.9916173,10.94631024,35.22794866,7.696443354,4.644197828,2.30952381,3.469600819,27.81615563,0.061563854,16.92884149,0.068106062,2.809317425,1.350021537,2.380952381,3.134920635,6.822840098,45.92476489,0.189873418,6.487528657,34.56521739,0.795017229,4.235810706,44.82504762,211,2,39.0831,121.7963
57.35,0.68,14.14,6.6087,7.0718,9.15,0.1255,1.156,3.28,0.1815,16.7,31.7,4.05,15.80030703,3.41,1.104638462,3.27,0.439065829,2.472224457,0.517773355,1.44,0.203488631,1.37418742,0.214667613,488,14.23284144,39.5,391.3682768,2.5,4.846670964,0.3,4.313824884,0.8,11.85152921,103,25.06192887,174.5576144,245.9606969,417.9944967,4.436,1.173342658,0.340527293,15.6160477,3.526935914,34.28689922,8.25558841,23.06817799,7.236784056,4.897360704,1.7990446,2.481466465,30.20527859,0.080942623,11.49792728,0.085867045,2.227243248,1.110130194,3.139182342,2.379588077,2.242057891,35.34661355,0.303089506,9.814116789,16.67846473,1.409051663,2.394593316,42.54888477,211,2,38.7616,121.1284
59.2246,0.71,15.23,7.06,5.1439,3.6092,0.1063,4.3435,3.28,0.2325,20.36300454,42.8,5.039354011,21.1,4.163292314,1.166567246,3.75,0.54,2.91421,0.57,1.508463212,0.21,1.335888425,0.205468346,767,15.8070568,112.1237612,1267.500331,2.8,6,0.381320883,3,0.8,14,114.2969644,16.03203489,133.6121348,157.246463,397,7.6235,1.288222393,0.379577304,79.06047733,4.491393059,48.52263199,10.35497849,32.03860382,7.230755595,4.891082106,2.181477095,3.116497034,27.45350453,0.146184826,15.79473226,0.073381552,2.707651433,1.334846851,2.24569653,2.807120662,9.486416282,71.71683913,0.189788652,9.808266017,24.76292016,1.176887588,2.971287006,45.42637852,211,2,38.7616,121.1284
50.9,2.189,15.18,8.81,8.13,6.64,0.143,4.34,2.93,1.38,128,254.4188656,30.4,109.4876657,16,4.22,13.8,1.5,6.473360227,1.05,2.68,0.425360968,2.453500386,0.35,1887.237358,28.20337763,125.8805148,5027,7.26293,26.1,0.9,3.1,0.7,16,412.2593466,21,161,93.92194435,152,7.27,4.538463502,0.925421073,239.3809524,10.6378626,66.91529585,35.44062475,103.6962811,14.61737498,8,2.638418263,6.521295082,25.76620916,0.066700945,44.62508599,0.048189918,9.020865123,3.882076365,1.263500922,5.624617008,31.22360248,50.83916084,0.109915913,4.47247354,7.238095238,0.583366114,0.944099379,46.1028129,213,5,38.7616,121.1284
