SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,U,Pb,Zr,Sc,V,Ni,Cr,A,La/Y,Nb/Y,Ba/Sc,Nb/Yb,Sr/Y,(La/Yb)/n,Ce/Yb,Zr/Y,La/Sm,Dy/Yb,Sm/Yb,Zr/Sm,Rb/Sr,Nd/Yb,Lu/Hf,Ce/Y,Nd/Y,Th/Yb,Gd/Yb,Ba/V,A/CaO,Th/Y,Ni/Sc,Cr/Sc,Ni/V,Cr/V,Predicted_Crustal_Thickness,Age,Age error,Lat,Lon
73.6125,0.28,14.2701,2.2342,1.08,0.4625,0.053,4.656,1.85,0.0764,55.26,105.6409453,12.14993331,45.88503203,8.35,0.44,6.64,1.09,6.614079197,1.42,3.796656118,0.559210143,3.536014871,0.54,260.3,38.59190699,112.6,780,7.968767256,21.20371193,1.52296065,3,1.542844058,21.29,304.043094,7.299198076,27.63728566,13,35.51119947,6.506,1.431906436,0.549434158,106.861054,5.996499648,6.744937483,10.616328,29.8757073,7.878415909,6.617964072,1.870489644,2.361415408,36.41234659,0.432577795,12.97648163,0.067764559,2.737385984,1.188980686,0.848412722,1.877820157,28.22274262,122.754717,0.077736506,1.781017567,4.865082315,0.470379044,1.28490185,35.79794487,151.5,5.5,45,125
68.15,0.3802,14.98,2.95,1.49,3.11,0.051,4.14,4.64,0.04,26.4,47.65,4.65,17.58698712,3.44,0.87,2.6,0.34,2.3,0.401492002,1.18,0.16,1.07,0.15731638,671.68,12.05695387,84.5,1030,4.98493,11,1.235290145,18,12.4386751,27.98,190,7.735700331,75.48811034,80.39496863,71,8.78,2.18960778,0.912336575,133.1489013,10.28037383,55.70893007,16.76091329,44.53271028,15.75854084,7.674418605,2.14953271,3.214953271,55.23255814,0.125803954,16.43643656,0.031558393,3.952076164,1.458659236,16.82242991,2.429906542,13.64453283,172.1568627,1.492914396,10.39272014,9.178225237,1.065001737,0.940545467,59.37444821,151.5,5.5,45,125
59.844,0.59,16.46,4.33,3.17,4.19,0.0759,2.59,4.2697,0.04,22.76,43.1,3.89,13.47114966,2.349946046,0.953721469,2.088997788,0.24,1.381459127,0.29,0.789835089,0.10643244,0.79,0.1,685.57,9.76,76.9,719.2899846,3.518650199,10,0.755155664,7.122932812,2.028904578,16.29993845,135.843575,10.50255569,91.93519659,100,174.6182131,6.8597,2.331967213,1.024590164,68.48713835,12.65822785,70.24282787,19.5714362,54.55696203,13.91839908,9.68532875,1.748682439,2.974615248,57.8071038,0.112169436,17.05208818,0.028419989,4.415983607,1.380240744,9.016370648,2.644300997,7.823880421,90.37812912,0.72980869,9.521492002,16.62625919,1.087722697,1.899361937,47.00964253,151.5,5.5,45,125
75.09,0.22,13.3251,1.51,0.22,0.3086,0.03,4.61,4.18,0.04,56.60879348,108.1,12.33,44.82743579,8.257609311,1.67,6.09,1.05,5.57,1.12,3.418135414,0.53,3.46405553,0.527766167,142.3679142,34.72028416,129.7,1380,9.811476866,20.67264232,1.391777411,11.5,2.389638628,8.68,374.8735865,3.668792606,12.14692148,3.99568793,8.4,8.79,1.630424256,0.595405332,376.1455466,5.967757197,4.100424799,11.10137015,31.20619721,10.79696194,6.855348969,1.607941891,2.383798192,45.39735078,0.911019879,12.94073822,0.053790696,3.113453781,1.291102215,3.319808213,1.758054958,113.6090327,293,0.331218487,1.089101609,2.289581588,0.328946551,0.691533243,38.58878151,151.5,5.5,45,125
64.34,0.84,16.0616,5.0983,3.7538,5.07,0.0965,3.14,3.43,0.1731,42.45,83.27101133,9.779276919,38.46,8.19,1.11,6.01,0.95,5.42,1.05,3.19,0.43,2.756090809,0.42,348.8126336,28.01,103.5117843,580,5.973365554,17.5,1.25004621,14.41578915,2.66,16.4,248.2472968,13.58200027,99.70120679,57,149.6919173,6.57,1.515530168,0.624776865,42.70357742,6.349573078,12.4531465,10.46313194,30.21344981,8.862809597,5.183150183,1.96655349,2.9716002,30.31102525,0.296754688,13.95454746,0.070312121,2.972902939,1.373081042,5.230520382,2.180624811,5.817381942,68.08290155,0.514665803,4.196730884,11.02134548,0.571708225,1.50140527,35.89536227,151.5,5.5,45,125
51.83,1.03,14,8.55,8.6752,7.9778,0.1504,1.96,2.69,0.5503,34.7,71.1,8.710795273,35.7,6.3,1.836936986,4.84,0.7,3.5,0.665975379,1.7,0.252240456,1.6,0.24,795,18.4517835,38,669.6469215,3.3,8.3,0.43,3.771803509,0.72,9.19347525,170.6750969,23.95580752,200.9472855,210,609,4.65,1.880577018,0.449821016,27.9534272,5.1875,43.08526599,14.73285865,44.4375,9.249788613,5.507936508,2.1875,3.9375,27.09128522,0.047798742,22.3125,0.072727273,3.853286052,1.934772322,2.357377193,3.025,3.332450696,30.91755319,0.204414035,8.766141564,25.42181054,1.045050196,3.030645567,41.20723048,126,23,42.5,122.05
54.6315,1.1507,16.75,7.2578,6.73,6.7436,0.12,2.4431,3.65,0.51,51.87550482,101.3,11.28290377,42.08325394,7.005700823,1.831797485,5.357034321,0.737109739,4,0.74,1.951172753,0.27,1.7,0.26,753.3980773,20.49399904,67,1241.463066,4.636625146,10.4,0.56,7.8,1.77757746,15.66099773,210.7248013,20,137,173.7887013,478,6.0931,2.531253403,0.507465623,62.0731533,6.117647059,36.76188702,20.72960108,59.58823529,10.28226853,7.404755945,2.352941176,4.121000484,30.07904657,0.08893041,24.75485526,0.056075269,4.942910352,2.053442759,4.588235294,3.151196659,9.061774204,50.77583333,0.380599218,8.689435065,23.9,1.268530666,3.489051095,37.94316248,149,23,42.5,122.05
57.38,0.92,15.9728,7.1473,6.55,5.1798,0.13,2.6091,3.8905,0.3738,31.51229668,63.7,7.9,32.5,5.9,1.54870481,4.66,0.606309464,3.4,0.599717356,1.554290786,0.21480587,1.447348596,0.228368323,804,16.32745632,58.25013203,903.0803328,3.700507412,8.8,0.48,4.6,1.128254809,13.45531154,159.7646091,14.95573133,146.2047753,111.644946,267,6.4996,1.93001874,0.538969441,60.38356219,6.080083281,49.24220799,14.79055404,44.01151193,9.7850275,5.341067234,2.349123086,4.076419472,27.07874731,0.072450413,22.45485303,0.061712705,3.901403792,1.990512139,3.178225351,3.219680465,6.176818308,49.99692308,0.281734026,7.465027523,17.85268765,0.76362038,1.826205741,39.49814866,149,23,42.5,122.05
57.38,0.88,15.5585,6.66,6.0839,5.73,0.1227,2.63,3.58,0.3724,30.4,60.27610829,7.408623429,29.8,5.4,1.457234342,4.623730786,0.65,3.4,0.66,1.836994488,0.25,1.7,0.254032007,798,19.01176528,82.00915914,997,3.728130992,8.4,0.53825276,8.170128036,1.829185929,14.2,157.0014605,20,145,81,210,6.21,1.599009853,0.44183167,49.85,4.941176471,41.97400863,12.14792753,35.45653429,8.258121126,5.62962963,2,3.176470588,29.07434454,0.10276837,17.52941176,0.068139239,3.170463521,1.567450448,4.805957668,2.719841639,6.875862069,50.61124694,0.429740632,4.05,10.5,0.55862069,1.448275862,42.52296961,149,23,42.5,122.05
65.5496,0.6283,15.5221,4.2488,3.81,2.4491,0.08,3.4871,3.8252,0.2772,40.16802825,72.7,8.9,34.2,5.2,1.4,3.686631992,0.47,2.2,0.423198232,1,0.165178529,0.9,0.167029051,816.0471804,13,91.32297934,1006,4.4,9.7,0.43,4.7,1.150758185,17,194,9,87,123,257.1200883,7.3123,3.089848327,0.746153846,111.7777778,10.77777778,62.77286003,30.31904617,80.77777778,14.92307692,7.724620817,2.444444444,5.777777778,37.30769231,0.111908945,38,0.037961148,5.592307692,2.630769231,5.222222222,4.096257769,11.56321839,91.40375,0.361538462,13.66666667,28.5688987,1.413793103,2.955403314,50.07800856,149,23,42.5,122.05
