SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,U,Pb,Zr,Sc,V,Ni,Cr,A,La/Y,Nb/Y,Ba/Sc,Nb/Yb,Sr/Y,(La/Yb)/n,Ce/Yb,Zr/Y,La/Sm,Dy/Yb,Sm/Yb,Zr/Sm,Rb/Sr,Nd/Yb,Lu/Hf,Ce/Y,Nd/Y,Th/Yb,Gd/Yb,Ba/V,A/CaO,Th/Y,Ni/Sc,Cr/Sc,Ni/V,Cr/V,Predicted_Crustal_Thickness,Age,Age error,Lat,Lon
64.84,0.7,15.29,4.4408,3.22,2.48,0.074,3.5648,4.3036,0.2424,44.4,80.12689175,9.304787008,31.32,6.3,1.504387131,4.957345886,0.68,3.83,0.705487775,1.988931816,0.28,1.791257126,0.27,630,19.09,60.1,1720,4.11,10.5,0.61,6.73,1.380600569,16.84025948,162,11.47250289,104,26.42310188,32,7.8684,2.325825039,0.550026192,149.9236929,5.861805013,33.0015715,16.83846773,44.73221102,8.486118387,7.047619048,2.138163162,3.517083008,25.71428571,0.095396825,17.48492695,0.065693431,4.197322774,1.640649555,3.757137879,2.76752333,16.53846154,106.3297297,0.352540597,2.30316803,2.789278007,0.254068287,0.307692308,38.16200713,143,6,31.19,116.59
57.19,1.2422,15.84,6.8,5.5,4.01,0.1059,3.5688,2.96,0.7619,92.01,174.7585382,19,69.55,12.63,2.907068479,8.584022786,1.08,5.84,0.961554004,2.500411146,0.35,2.08,0.28,1228,25.92351981,117.5,2591,7.981411215,20.32,0.93,10.44,1.820904363,21.12196157,360.2855865,16.41565041,135.3508495,66,158,6.5288,3.549286543,0.783844175,157.8371819,9.769230769,47.37011058,30.05032863,84.01852798,13.8980196,7.285035629,2.807692308,6.072115385,28.5261747,0.095684039,33.4375,0.035081515,6.741312117,2.682891849,5.019230769,4.126934032,19.14284254,61.65061379,0.40272309,4.020553457,9.624961305,0.487621616,1.167336597,48.36719351,130,2,31.19,116.59
56.8,1.39,16.724,7.1202,6.0487,3.6351,0.13,4.57,3.8294,0.73,93.04,173.2966492,19.35682023,71.36,11.79460341,2.752209751,8.430551172,1.04841947,5.67,0.950158846,2.525101424,0.35,2.076546215,0.315792198,974,25.51056712,152.4081238,2109.835962,9.2793,20.25,0.986998144,10.76,2.137062307,21.52639561,413,14.99448661,138,53.85737863,157,8.3994,3.647116098,0.793788704,140.7074491,9.751769478,38.18025665,30.43726536,83.45427034,16.18936961,7.888353408,2.730495454,5.679913755,35.01601416,0.156476513,34.36475407,0.034031899,6.793131975,2.797272192,5.181680967,4.059890943,15.28866639,64.61076923,0.421785998,3.591812113,10.4705152,0.39027086,1.137681159,52.65200274,130,2,31.19,116.59
59.1893,1.2791,15.8291,6.67,4.8564,2.9971,0.1,3.99,3.7703,0.6607,94.37,179.8695642,19.2,72.40854205,12.69,2.49,8.44,1.1,5.8,1.03,2.8,0.39,2.230334481,0.33,1052,26.61,87.2,2198,8.939650584,20.06,1.01,11.31799246,1.963561954,21.79099273,372.5391389,14.48806087,128.9223369,60.15066786,159,7.7603,3.546411124,0.753851935,151.7111241,8.994166647,39.53400977,28.74362157,80.64690105,13.99996764,7.436564224,2.600506807,5.689729549,29.35690614,0.082889734,32.46532871,0.036914194,6.759472537,2.72110267,5.074571799,3.784185768,17.04902388,77.603,0.42532854,4.151740416,10.97455356,0.466565138,1.233300635,47.74082862,130,2,31.19,116.59
59.06,1.34,16.2185,7.01,5.0648,3.7243,0.1146,4.11,3.87,0.79,97.8,188.7,19.59,70.77,11.49531795,2.38,8.135005156,1.04,5.56,0.95,2.461847082,0.33,2.14,0.28,1002,24.82191336,174.7274724,1965,8.78,22.56719741,1.078787605,11.14,2.092456686,22.31570315,404,14.42449392,134,38.8,91.9,7.98,3.940066931,0.909164297,136.2266164,10.54541935,40.3675569,31.04578256,88.17757009,16.27594111,8.507811652,2.598130841,5.371643902,35.14474343,0.174378715,33.07009346,0.031890661,7.60215368,2.851109782,5.205607477,3.801404279,14.6641791,69.63350785,0.44879699,2.689869067,6.371107403,0.289552239,0.685820896,54.02740504,130,2,31.19,116.59
57.14,1.33,15.68,7.3,5.5591,3.1879,0.1136,3.41,4.52,0.77,100.5,188.8063771,20.49,75.16,12.32250341,3.18,9.308475343,1.16256307,6.029174996,1.113207499,2.95,0.392490376,2.488491859,0.367740019,829,27.67,84.1,1598.136829,10.61,26.00551324,1,11.17,2.202855882,18.93087287,377,16.48069212,138.9741006,69.1,144.3681866,7.93,3.632092519,0.939845076,96.97024963,10.45031076,29.96024575,27.4351518,75.87180823,13.62486447,8.155810281,2.422822873,4.951795749,30.5944326,0.101447527,30.2030323,0.034659757,6.823504774,2.716299241,4.488662464,3.74060912,11.49952993,69.80633803,0.403686303,4.192785078,8.759837606,0.497214947,1.038813606,41.77006243,130,2,31.5,116
56.96,1.3374,16.1655,6.99,5.31,4.67,0.11,3.5181,3.83,0.7639,97.84,186.5639743,20.11,76.63302024,12.24,3.06,8.33,1.19,5.734354563,1.02,2.6,0.557879902,2.4,0.31,1094.480325,26.64164055,105.2,2210,9.83,20.85,1.015107895,12.03726048,2.295709815,21.551161,377,23.2250183,138.9965597,68.9,145.5310577,7.3481,3.672446515,0.782609463,95.15600683,8.6875,41.08156639,27.69381153,77.73498929,14.15078022,7.993464052,2.389314401,5.1,30.80065359,0.096118676,31.9304251,0.031536114,7.002720945,2.876437736,5.0155252,3.470833333,15.8996741,66.80090909,0.451821293,2.966628448,6.266133177,0.495695722,1.047011941,45.71129344,130,2,31.5,116
57.561,1.341,15.679,7.14,5.88,4.0013,0.1078,3.4864,3.6788,0.7686,97.15,188.6,19.93,75.68408912,12.67,3.05,8.19,1.12,5.845497077,1.05,2.65,0.37,2.290968544,0.348786588,983.6222521,27.25,85.109885,2188,9.81,22.37237291,1.0624859,9.633327502,1.795963293,18.3712544,404.5668458,15.93532689,136,70.2,169,7.1652,3.565137615,0.82100451,137.3049963,9.765464903,36.09622943,28.80721068,82.32326039,14.84648975,7.667719021,2.55153965,5.530412032,31.93108491,0.086527002,33.03584823,0.035554188,6.921100917,2.777397766,4.204914785,3.574907225,16.08823529,66.46753247,0.353516606,4.405306555,10.60536763,0.516176471,1.242647059,44.47281912,130,2,31.5,116
54.695,1.32,16.7,7.7227,6.5297,5.32,0.13,2.8976,3.7605,0.9036,97.47,190.7,21.38764713,76.01,13.43,3.44,10.35788773,1.25,6.558092863,1.189440734,3.055003694,0.41,2.439195717,0.357254928,988.699045,31.93,59.78355343,1420.853219,9.311886775,26.91,1.3,6.234210026,1.373713125,15.3073698,421,16.92245258,143,68.7,154,6.6581,3.052615096,0.842781084,83.96260603,11.03232505,30.96458018,27.14575014,78.18150822,13.18509239,7.257632167,2.688629214,5.505913243,31.34772897,0.060466887,31.16191106,0.038365472,5.972439712,2.380519887,2.555846578,4.246435683,9.936036497,51.21615385,0.195246164,4.059695229,9.100335739,0.48041958,1.076923077,34.96847047,130,2,31.5,116
58.0301,1.3391,16.0047,7.14,5.09,3.4795,0.1,3.6,3.8353,0.72,98.35663544,190.1,20.02,76.08185597,12.48616941,3.03,8.649450246,1.11,5.72868714,1.013955593,2.72,0.345532179,2.209190555,0.33,1034.815267,27.42,95.83860612,2107,9.170134284,22.89,1.09,11.15,2.112639901,19.69293069,371,13.86618022,138.2062738,46.9,95.96152662,7.4353,3.58703995,0.834792123,151.9524459,10.36126103,37.73943352,30.24461192,86.04961648,13.53026988,7.877246593,2.593115894,5.651920511,29.71287573,0.092614217,34.43879289,0.035986387,6.932895697,2.774684755,5.047097442,3.915212396,15.24532818,74.353,0.406637491,3.382330192,6.920545175,0.339347836,0.694335532,47.59861496,130,2,31.5,116
